Variety,Quantity,Usage,Period
Sini Kesel,74,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kolikuttu,1468,Banana candies,November-January
Sini Kesel,4002,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Puwalu,909,Food industry-desserts varieties,January-December
Anamalu,1170,Give CBL to make Waffers Biscuits,November-January
Ambul Nadee,2750,dehydrated banana chips,November-January
Sini Kesel,1247,Make organic fertilizers,January-December
Nethra Palam,4678,Banana chocolates and sweets,January-December
Ambul Kesel,2081,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Seeni Parakum,2365,Make natural remedies,November-January
Ambul Kesel,2037,Banana chips ( both sweetened and unsweetened),January-December
Kolikuttu,1718,make banana silk which is eco friendly and biodegradable,November-January
Kolikuttu,158,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Kandula,690,Brewing and distilling industry- Make banana beer,January-December
Nethra Palam,701,Make bioplastics,January-December
Anamalu,4004,Banana candies,November-January
Ambul Kesel,2458,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kolikuttu,1359,Banana chocolates and sweets,January-December
Seeni Parakum,1839,Banana chocolates and sweets,January-December
Nethra Palam,163,Make high quality acid free paper from banana stems and leaves,January-December
Sini Kesel,1302,Make bioplastics,November-January
Ambul Kesel,2690,Make organic fertilizers,November-January
Ambul Kesel,1025,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Rath Kesel,2281,Give CBL to make Waffers Biscuits,January-December
Kandula,88,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Green Banana,4180,Make innorganic fertilizers,November-January
Ambul Nadee,1731,Make bioplastics,January-December
Kolikuttu,3855,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambum,1297,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Seeni Parakum,767,Brewing and distilling industry- Make banana beer,November-January
Sini Kesel,3518,Make single use plastic alternatives,November-January
Puwalu,917,Make single use plastic alternatives,November-January
Sini Kesel,1742,make banana silk which is eco friendly and biodegradable,November-January
Suwandal,2355,Export to USA as fresh banana,November-January
Ambul Nadee,3461,cosmetic industry- Make haircare treatments with banana extracts,November-January
Rath Kesel,694,Make breakfast cereals,January-December
Nethra Palam,2933,Make single use plastic alternatives,November-January
Nethra Palam,2573,Banana candies,November-January
Ambum,2922,Textile industry- make banana fibers,November-January
Ambum,4463,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Ambul Kesel,1504,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Kolikuttu,2256,cosmetic industry- Make haircare treatments with banana extracts,January-December
Anamalu,708,Banana chocolates and sweets,November-January
Ambul Kesel,3147,Banana chips ( both sweetened and unsweetened),November-January
Kandula,2354,Brewing and distilling industry- Make banana beer,January-December
Ambum,1305,make banana silk which is eco friendly and biodegradable,January-December
Puwalu,3193,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kolikuttu,848,Make single use plastic alternatives,November-January
Green Banana,3831,Food industry-desserts varieties,January-December
Kandula,4722,Make banana oils are used in cosmatic industry,November-January
Puwalu,1713,Banana chips ( both sweetened and unsweetened),January-December
Ambul Nadee,2379,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Kolikuttu,3966,Make innorganic fertilizers,January-December
Green Banana,3801,Make innorganic fertilizers,November-January
Puwalu,696,Make high quality acid free paper from banana stems and leaves,November-January
Anamalu,2841,Banana chips ( both sweetened and unsweetened),November-January
Suwandal,2875,Brewing and distilling industry- Make banana beer,January-December
Green Banana,4260,Make single use plastic alternatives,November-January
Green Banana,2653,Textile industry- make banana fibers,January-December
Ambul Nadee,2011,Banana chips ( both sweetened and unsweetened),January-December
Ambul Kesel,4262,Make innorganic fertilizers,January-December
Nethra Palam,4999,cosmetic industry- Make haircare treatments with banana extracts,January-December
Ambum,116,Make bioplastics,January-December
Seeni Parakum,3896,Banana flavored craft beers,January-December
Anamalu,3074,Make innorganic fertilizers,November-January
Ambul Nadee,3020,cosmetic industry- Make haircare treatments with banana extracts,November-January
Kandula,3885,cosmetic industry- Make haircare treatments with banana extracts,November-January
Green Banana,4999,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambul Nadee,4529,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Seeni Parakum,770,Banana chips ( both sweetened and unsweetened),January-December
Puwalu,3251,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Ambul Nadee,1551,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Nethra Palam,559,Banana chocolates and sweets,November-January
Kolikuttu,2645,Banana chips ( both sweetened and unsweetened),November-January
Rath Kesel,1546,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Green Banana,1102,Make tea bags and filters,January-December
Seeni Parakum,2031,Make high quality acid free paper from banana stems and leaves,January-December
Rath Kesel,3057,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Green Banana,3197,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Nethra Palam,3240,Banana chocolates and sweets,November-January
Kandula,4810,Make innorganic fertilizers,January-December
Ambul Nadee,968,Textile industry- make banana fibers,January-December
Sini Kesel,1813,Make organic fertilizers,November-January
Ambum,2434,Banana flavored craft beers,January-December
Suwandal,4227,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Rath Kesel,3384,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Kesel,727,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Nadee,3637,Make natural remedies,November-January
Anamalu,1071,Make jam and sugary products to the local market,November-January
Nethra Palam,665,Make innorganic fertilizers,January-December
Ambul Nadee,263,Make bioplastics,January-December
Ambul Kesel,2884,Banana chips ( both sweetened and unsweetened),January-December
Ambul Kesel,4365,Brewing and distilling industry- Make banana beer,January-December
Green Banana,3780,make banana silk which is eco friendly and biodegradable,November-January
Kandula,3114,Make high quality acid free paper from banana stems and leaves,January-December
Rath Kesel,2391,Make single use plastic alternatives,January-December
Nethra Palam,2073,Make banana oils are used in cosmatic industry,January-December
Rath Kesel,4366,Banana candies,November-January
Green Banana,4992,Make natural remedies,November-January
Ambum,2852,Make bioplastics,November-January
Ambul Nadee,1499,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Green Banana,4632,make banana silk which is eco friendly and biodegradable,January-December
Ambul Nadee,3092,Make natural remedies,January-December
Anamalu,1322,Banana candies,November-January
Puwalu,2757,Export to USA as fresh banana,January-December
Green Banana,3478,Banana chips ( both sweetened and unsweetened),November-January
Ambul Kesel,2191,Make bioplastics,November-January
Kandula,4867,Banana flavored craft beers,January-December
Puwalu,3233,Give CBL to make Waffers Biscuits,January-December
Anamalu,1854,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Green Banana,3236,Bakery industry- Banana breads and banana cakes,January-December
Nethra Palam,1146,Export to USA as fresh banana,November-January
Kandula,2180,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Sini Kesel,4752,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambul Nadee,3086,Food industry-desserts varieties,January-December
Ambul Kesel,454,Make innorganic fertilizers,January-December
Ambum,1208,Make bioplastics,January-December
Ambul Nadee,1632,Make tea bags and filters,November-January
Sini Kesel,2313,dehydrated banana chips,January-December
Ambul Nadee,4261,Make organic fertilizers,November-January
Puwalu,4547,Make banana oils are used in cosmatic industry,January-December
Nethra Palam,974,Give CBL to make Waffers Biscuits,November-January
Seeni Parakum,574,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambul Kesel,4470,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Puwalu,2434,Banana candies,January-December
Nethra Palam,613,Give CBL to make Waffers Biscuits,November-January
Puwalu,837,Banana flavored craft beers,November-January
Anamalu,4330,make banana silk which is eco friendly and biodegradable,November-January
Ambum,350,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Nadee,2048,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,1203,Make single use plastic alternatives,January-December
Nethra Palam,1968,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Seeni Parakum,1880,Textile industry- make banana fibers,November-January
Sini Kesel,4535,Make organic fertilizers,November-January
Green Banana,4070,make banana silk which is eco friendly and biodegradable,January-December
Kolikuttu,3509,Make single use plastic alternatives,November-January
Anamalu,1834,dehydrated banana chips,November-January
Seeni Parakum,1470,Make single use plastic alternatives,January-December
Nethra Palam,1195,make banana silk which is eco friendly and biodegradable,November-January
Sini Kesel,3088,Make jam and sugary products to the local market,November-January
Suwandal,4591,Make innorganic fertilizers,November-January
Kandula,4015,Make single use plastic alternatives,November-January
Anamalu,612,cosmetic industry- Make haircare treatments with banana extracts,November-January
Sini Kesel,447,Make innorganic fertilizers,January-December
Kandula,2492,Textile industry- make banana fibers,November-January
Ambum,845,Make single use plastic alternatives,January-December
Ambum,4671,Banana chocolates and sweets,November-January
Suwandal,1031,cosmetic industry- Make haircare treatments with banana extracts,January-December
Puwalu,794,Make tea bags and filters,January-December
Green Banana,1744,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Kesel,3056,Make organic fertilizers,November-January
Sini Kesel,2622,Make jam and sugary products to the local market,November-January
Nethra Palam,544,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kandula,4344,Make organic fertilizers,January-December
Ambul Kesel,3570,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Anamalu,1947,Make breakfast cereals,January-December
Ambul Nadee,1344,Brewing and distilling industry- Make banana beer,January-December
Sini Kesel,3239,Make innorganic fertilizers,November-January
Anamalu,3566,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Sini Kesel,4315,dehydrated banana chips,January-December
Puwalu,3314,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambum,4112,Make breakfast cereals,November-January
Nethra Palam,1130,Brewing and distilling industry- Make banana beer,January-December
Ambul Nadee,4392,Make innorganic fertilizers,November-January
Green Banana,429,Brewing and distilling industry- Make banana beer,January-December
Kolikuttu,3792,Banana chips ( both sweetened and unsweetened),November-January
Seeni Parakum,4524,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Puwalu,4159,Textile industry- make banana fibers,November-January
Anamalu,4615,Brewing and distilling industry- Make banana beer,January-December
Suwandal,4810,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Nethra Palam,4986,Make breakfast cereals,November-January
Kandula,207,cosmetic industry- Make haircare treatments with banana extracts,November-January
Seeni Parakum,4888,Make breakfast cereals,November-January
Nethra Palam,3562,Export to USA as fresh banana,November-January
Seeni Parakum,4018,Make jam and sugary products to the local market,January-December
Ambum,3805,Make natural remedies,January-December
Rath Kesel,4933,Make jam and sugary products to the local market,January-December
Ambul Nadee,1687,Textile industry- make banana fibers,November-January
Suwandal,4888,Make organic fertilizers,January-December
Rath Kesel,888,Bakery industry- Banana breads and banana cakes,January-December
Suwandal,3785,Banana chocolates and sweets,January-December
Ambul Kesel,893,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambul Kesel,631,Textile industry- make banana fibers,November-January
Ambul Nadee,3046,Make innorganic fertilizers,November-January
Seeni Parakum,4286,Bakery industry- Banana breads and banana cakes,January-December
Anamalu,2508,Banana candies,November-January
Ambum,4483,make banana silk which is eco friendly and biodegradable,November-January
Kandula,341,Make breakfast cereals,January-December
Sini Kesel,706,Make tea bags and filters,January-December
Suwandal,2541,Make jam and sugary products to the local market,November-January
Seeni Parakum,916,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Anamalu,867,Make banana oils are used in cosmatic industry,January-December
Ambum,3122,cosmetic industry- Make haircare treatments with banana extracts,November-January
Suwandal,3943,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Anamalu,4540,Make tea bags and filters,November-January
Puwalu,514,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Green Banana,2473,Make banana oils are used in cosmatic industry,January-December
Kolikuttu,3078,Make breakfast cereals,November-January
Green Banana,915,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Rath Kesel,1120,Banana candies,November-January
Seeni Parakum,1447,Make organic fertilizers,January-December
Suwandal,257,Make innorganic fertilizers,January-December
Seeni Parakum,1678,Textile industry- make banana fibers,November-January
Kandula,3104,Export to USA as fresh banana,January-December
Suwandal,2218,make banana silk which is eco friendly and biodegradable,November-January
Seeni Parakum,2364,Bakery industry- Banana breads and banana cakes,January-December
Puwalu,3332,Give CBL to make Waffers Biscuits,January-December
Kolikuttu,97,Make single use plastic alternatives,November-January
Kolikuttu,3975,Make bioplastics,January-December
Nethra Palam,3202,make banana silk which is eco friendly and biodegradable,November-January
Green Banana,2566,Make breakfast cereals,January-December
Kolikuttu,963,cosmetic industry- Make haircare treatments with banana extracts,January-December
Sini Kesel,1362,dehydrated banana chips,November-January
Anamalu,2343,Make innorganic fertilizers,January-December
Green Banana,4958,Make innorganic fertilizers,November-January
Puwalu,1709,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Puwalu,4419,Make breakfast cereals,November-January
Anamalu,2285,Make innorganic fertilizers,November-January
Sini Kesel,842,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Seeni Parakum,755,cosmetic industry- Make haircare treatments with banana extracts,January-December
Kandula,410,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Nethra Palam,2422,Banana chocolates and sweets,November-January
Rath Kesel,911,Bakery industry- Banana breads and banana cakes,November-January
Kandula,1111,Make banana oils are used in cosmatic industry,January-December
Seeni Parakum,2697,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Green Banana,4946,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Suwandal,1086,Give CBL to make Waffers Biscuits,January-December
Suwandal,4530,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Sini Kesel,4945,Banana candies,November-January
Ambul Kesel,4923,Make organic fertilizers,January-December
Green Banana,4599,Make organic fertilizers,November-January
Kolikuttu,3948,Make single use plastic alternatives,November-January
Nethra Palam,4398,Bakery industry- Banana breads and banana cakes,November-January
Sini Kesel,636,Make breakfast cereals,January-December
Suwandal,1173,Banana flavored craft beers,November-January
Suwandal,1598,Make jam and sugary products to the local market,November-January
Anamalu,369,Banana candies,January-December
Sini Kesel,230,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Puwalu,4417,Bakery industry- Banana breads and banana cakes,November-January
Ambum,656,make banana silk which is eco friendly and biodegradable,January-December
Rath Kesel,1909,Banana candies,November-January
Suwandal,1816,Banana candies,January-December
Anamalu,3276,Banana flavored craft beers,November-January
Seeni Parakum,1472,Banana flavored craft beers,November-January
Suwandal,521,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Seeni Parakum,1979,Export to USA as fresh banana,January-December
Kolikuttu,2320,Food industry-desserts varieties,November-January
Rath Kesel,2475,Banana chocolates and sweets,November-January
Sini Kesel,2803,Make organic fertilizers,January-December
Nethra Palam,1295,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Ambul Nadee,1631,Textile industry- make banana fibers,November-January
Ambul Nadee,2109,Make innorganic fertilizers,November-January
Kolikuttu,2187,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Kolikuttu,2972,dehydrated banana chips,November-January
Nethra Palam,3027,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Ambul Nadee,3295,Make tea bags and filters,November-January
Anamalu,3206,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Nethra Palam,1635,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kandula,579,Make banana oils are used in cosmatic industry,January-December
Kandula,2237,Banana chips ( both sweetened and unsweetened),November-January
Green Banana,1898,Make breakfast cereals,January-December
Sini Kesel,4622,Banana flavored craft beers,November-January
Ambum,3386,Food industry-desserts varieties,January-December
Kolikuttu,2574,make banana silk which is eco friendly and biodegradable,November-January
Rath Kesel,1089,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,753,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Suwandal,1084,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Rath Kesel,2932,Make single use plastic alternatives,January-December
Ambul Kesel,1908,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Rath Kesel,4627,Banana candies,January-December
Ambum,2622,Make single use plastic alternatives,January-December
Nethra Palam,605,Textile industry- make banana fibers,November-January
Anamalu,2037,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Nadee,4692,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Ambum,1787,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Ambul Kesel,2328,cosmetic industry- Make haircare treatments with banana extracts,November-January
Seeni Parakum,4839,Make single use plastic alternatives,November-January
Ambul Kesel,1590,Make organic fertilizers,January-December
Ambum,456,Bakery industry- Banana breads and banana cakes,January-December
Puwalu,4960,Make banana oils are used in cosmatic industry,January-December
Seeni Parakum,3012,Export to USA as fresh banana,January-December
Puwalu,4902,Make organic fertilizers,November-January
Ambul Nadee,2655,Banana flavored craft beers,November-January
Rath Kesel,3198,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Suwandal,4332,Give CBL to make Waffers Biscuits,November-January
Rath Kesel,3802,Export to USA as fresh banana,January-December
Nethra Palam,2342,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Rath Kesel,1040,Make banana oils are used in cosmatic industry,November-January
Nethra Palam,223,Make bioplastics,November-January
Ambul Nadee,384,Textile industry- make banana fibers,November-January
Rath Kesel,2842,Make innorganic fertilizers,November-January
Ambul Kesel,2642,Make banana oils are used in cosmatic industry,November-January
Nethra Palam,950,Make organic fertilizers,January-December
Anamalu,2507,Make natural remedies,November-January
Rath Kesel,1015,Brewing and distilling industry- Make banana beer,November-January
Sini Kesel,2592,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Nethra Palam,4860,Textile industry- make banana fibers,November-January
Ambul Nadee,897,Make breakfast cereals,January-December
Ambul Nadee,3256,Make organic fertilizers,January-December
Puwalu,3913,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambum,4418,Food industry-desserts varieties,January-December
Ambum,394,Banana chocolates and sweets,January-December
Suwandal,4280,Banana chips ( both sweetened and unsweetened),November-January
Nethra Palam,3123,Textile industry- make banana fibers,January-December
Green Banana,2725,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Kolikuttu,120,Make jam and sugary products to the local market,November-January
Ambul Kesel,3103,Export to USA as fresh banana,January-December
Suwandal,2854,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Green Banana,3923,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Rath Kesel,2749,Banana flavored craft beers,January-December
Kandula,1838,Banana chocolates and sweets,November-January
Rath Kesel,3994,Food industry-desserts varieties,November-January
Suwandal,2766,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Seeni Parakum,4839,Make banana oils are used in cosmatic industry,November-January
Ambul Kesel,956,Brewing and distilling industry- Make banana beer,November-January
Rath Kesel,91,Banana chips ( both sweetened and unsweetened),January-December
Suwandal,1896,Give CBL to make Waffers Biscuits,January-December
Anamalu,2945,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Anamalu,4201,Make banana oils are used in cosmatic industry,November-January
Ambul Nadee,4787,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Kolikuttu,2010,Banana chocolates and sweets,November-January
Nethra Palam,3585,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambum,1316,make banana silk which is eco friendly and biodegradable,November-January
